ward_section_concatenated,ward,section,month_name,month_number,dates,year,dates_list,date
1018,10,18,JULY,7,"11,14",2025,14,2025-07-14
1018,10,18,SEPTEMBER,9,"2,3",2025,2,2025-09-02
1018,10,18,SEPTEMBER,9,"2,3",2025,3,2025-09-03
1018,10,18,OCTOBER,10,"23,24",2025,23,2025-10-23
1018,10,18,OCTOBER,10,"23,24",2025,24,2025-10-24
1101,11,01,APRIL,4,"1,2",2025,1,2025-04-01
1101,11,01,APRIL,4,"1,2",2025,2,2025-04-02
1101,11,01,MAY,5,"15,16",2025,15,2025-05-15
1101,11,01,MAY,5,"15,16",2025,16,2025-05-16
1101,11,01,JULY,7,"2,3",2025,2,2025-07-02
1101,11,01,JULY,7,"2,3",2025,3,2025-07-03
1101,11,01,AUGUST,8,"18,19",2025,18,2025-08-18
1101,11,01,AUGUST,8,"18,19",2025,19,2025-08-19
1101,11,01,OCTOBER,10,"2,3",2025,2,2025-10-02
1101,11,01,OCTOBER,10,"2,3",2025,3,2025-10-03
1101,11,01,NOVEMBER,11,"19,20",2025,19,2025-11-19
1101,11,01,NOVEMBER,11,"19,20",2025,20,2025-11-20
1102,11,02,APRIL,4,"3,4,7,8",2025,3,2025-04-03
1102,11,02,APRIL,4,"3,4,7,8",2025,4,2025-04-04
1102,11,02,APRIL,4,"3,4,7,8",2025,7,2025-04-07
1102,11,02,APRIL,4,"3,4,7,8",2025,8,2025-04-08
1102,11,02,MAY,5,"19,20,21,22",2025,19,2025-05-19
1102,11,02,MAY,5,"19,20,21,22",2025,20,2025-05-20
1102,11,02,MAY,5,"19,20,21,22",2025,21,2025-05-21
1102,11,02,MAY,5,"19,20,21,22",2025,22,2025-05-22
1102,11,02,JULY,7,"7,8,9,10",2025,7,2025-07-07
1102,11,02,JULY,7,"7,8,9,10",2025,8,2025-07-08
1102,11,02,JULY,7,"7,8,9,10",2025,9,2025-07-09
1102,11,02,JULY,7,"7,8,9,10",2025,10,2025-07-10
1102,11,02,AUGUST,8,"20,21,22,25",2025,20,2025-08-20
1102,11,02,AUGUST,8,"20,21,22,25",2025,21,2025-08-21
1102,11,02,AUGUST,8,"20,21,22,25",2025,22,2025-08-22
1102,11,02,AUGUST,8,"20,21,22,25",2025,25,2025-08-25
1102,11,02,OCTOBER,10,"6,7,8,9",2025,6,2025-10-06
1102,11,02,OCTOBER,10,"6,7,8,9",2025,7,2025-10-07
1102,11,02,OCTOBER,10,"6,7,8,9",2025,8,2025-10-08
1102,11,02,OCTOBER,10,"6,7,8,9",2025,9,2025-10-09
1102,11,02,NOVEMBER,11,"21,24",2025,21,2025-11-21
1102,11,02,NOVEMBER,11,"21,24",2025,24,2025-11-24
1103,11,03,APRIL,4,"9,10",2025,9,2025-04-09
1103,11,03,APRIL,4,"9,10",2025,10,2025-04-10
1103,11,03,MAY,5,"23,27",2025,23,2025-05-23
1103,11,03,MAY,5,"23,27",2025,27,2025-05-27
1103,11,03,JULY,7,"11,14",2025,11,2025-07-11
1103,11,03,JULY,7,"11,14",2025,14,2025-07-14
1103,11,03,AUGUST,8,"26,27",2025,26,2025-08-26
1103,11,03,AUGUST,8,"26,27",2025,27,2025-08-27
1103,11,03,OCTOBER,10,"10,14",2025,10,2025-10-10
1103,11,03,OCTOBER,10,"10,14",2025,14,2025-10-14
1104,11,04,APRIL,4,"11,14,15,16",2025,11,2025-04-11
1104,11,04,APRIL,4,"11,14,15,16",2025,14,2025-04-14
1104,11,04,APRIL,4,"11,14,15,16",2025,15,2025-04-15
1104,11,04,APRIL,4,"11,14,15,16",2025,16,2025-04-16
1104,11,04,MAY,5,"28,29,30",2025,28,2025-05-28
1104,11,04,MAY,5,"28,29,30",2025,29,2025-05-29
1104,11,04,MAY,5,"28,29,30",2025,30,2025-05-30
1104,11,04,JUNE,6,2,2025,2,2025-06-02
1104,11,04,JULY,7,"15,16,17,18",2025,15,2025-07-15
1104,11,04,JULY,7,"15,16,17,18",2025,16,2025-07-16
1104,11,04,JULY,7,"15,16,17,18",2025,17,2025-07-17
1104,11,04,JULY,7,"15,16,17,18",2025,18,2025-07-18
1104,11,04,AUGUST,8,"28,29",2025,28,2025-08-28
1104,11,04,AUGUST,8,"28,29",2025,29,2025-08-29
1104,11,04,SEPTEMBER,9,"2,3",2025,2,2025-09-02
1104,11,04,SEPTEMBER,9,"2,3",2025,3,2025-09-03
1104,11,04,OCTOBER,10,"15,16,17,20",2025,15,2025-10-15
1104,11,04,OCTOBER,10,"15,16,17,20",2025,16,2025-10-16
1104,11,04,OCTOBER,10,"15,16,17,20",2025,17,2025-10-17
1104,11,04,OCTOBER,10,"15,16,17,20",2025,20,2025-10-20
1105,11,05,APRIL,4,"17,18",2025,17,2025-04-17
1105,11,05,APRIL,4,"17,18",2025,18,2025-04-18
1105,11,05,JUNE,6,"3,4",2025,3,2025-06-03
1105,11,05,JUNE,6,"3,4",2025,4,2025-06-04
1105,11,05,JULY,7,"21,22",2025,21,2025-07-21
1105,11,05,JULY,7,"21,22",2025,22,2025-07-22
1105,11,05,SEPTEMBER,9,"4,5",2025,4,2025-09-04
1105,11,05,SEPTEMBER,9,"4,5",2025,5,2025-09-05
1105,11,05,OCTOBER,10,"21,22",2025,21,2025-10-21
1105,11,05,OCTOBER,10,"21,22",2025,22,2025-10-22
1106,11,06,APRIL,4,"21,22",2025,21,2025-04-21
1106,11,06,APRIL,4,"21,22",2025,22,2025-04-22
1106,11,06,JUNE,6,"5,6",2025,5,2025-06-05
1106,11,06,JUNE,6,"5,6",2025,6,2025-06-06
1106,11,06,JULY,7,"23,24",2025,23,2025-07-23
1106,11,06,JULY,7,"23,24",2025,24,2025-07-24
1106,11,06,SEPTEMBER,9,"8,9",2025,8,2025-09-08
1106,11,06,SEPTEMBER,9,"8,9",2025,9,2025-09-09
1106,11,06,OCTOBER,10,"23,24",2025,23,2025-10-23
1106,11,06,OCTOBER,10,"23,24",2025,24,2025-10-24
1107,11,07,APRIL,4,"23,24",2025,23,2025-04-23
1107,11,07,APRIL,4,"23,24",2025,24,2025-04-24
1107,11,07,JUNE,6,"9,10",2025,9,2025-06-09
1107,11,07,JUNE,6,"9,10",2025,10,2025-06-10
1107,11,07,JULY,7,"25,28",2025,25,2025-07-25
1107,11,07,JULY,7,"25,28",2025,28,2025-07-28
1107,11,07,SEPTEMBER,9,"10,11",2025,10,2025-09-10
1107,11,07,SEPTEMBER,9,"10,11",2025,11,2025-09-11
1107,11,07,OCTOBER,10,"27,28",2025,27,2025-10-27
1107,11,07,OCTOBER,10,"27,28",2025,28,2025-10-28
1108,11,08,APRIL,4,"25,28,29,30",2025,25,2025-04-25
1108,11,08,APRIL,4,"25,28,29,30",2025,28,2025-04-28
1108,11,08,APRIL,4,"25,28,29,30",2025,29,2025-04-29
1108,11,08,APRIL,4,"25,28,29,30",2025,30,2025-04-30
1108,11,08,JUNE,6,"11,12,13,16",2025,11,2025-06-11
1108,11,08,JUNE,6,"11,12,13,16",2025,12,2025-06-12
1108,11,08,JUNE,6,"11,12,13,16",2025,13,2025-06-13
1108,11,08,JUNE,6,"11,12,13,16",2025,16,2025-06-16
1108,11,08,JULY,7,"29,30,31",2025,29,2025-07-29
1108,11,08,JULY,7,"29,30,31",2025,30,2025-07-30
1108,11,08,JULY,7,"29,30,31",2025,31,2025-07-31
1108,11,08,AUGUST,8,1,2025,1,2025-08-01
1108,11,08,SEPTEMBER,9,"12,15,16,17",2025,12,2025-09-12
1108,11,08,SEPTEMBER,9,"12,15,16,17",2025,15,2025-09-15
1108,11,08,SEPTEMBER,9,"12,15,16,17",2025,16,2025-09-16
1108,11,08,SEPTEMBER,9,"12,15,16,17",2025,17,2025-09-17
1108,11,08,OCTOBER,10,"29,30,31",2025,29,2025-10-29
1108,11,08,OCTOBER,10,"29,30,31",2025,30,2025-10-30
1108,11,08,OCTOBER,10,"29,30,31",2025,31,2025-10-31
1108,11,08,NOVEMBER,11,3,2025,3,2025-11-03
1109,11,09,MAY,5,"1,2",2025,1,2025-05-01
1109,11,09,MAY,5,"1,2",2025,2,2025-05-02
1109,11,09,JUNE,6,"17,18",2025,17,2025-06-17
1109,11,09,JUNE,6,"17,18",2025,18,2025-06-18
1109,11,09,AUGUST,8,"4,5",2025,4,2025-08-04
1109,11,09,AUGUST,8,"4,5",2025,5,2025-08-05
1109,11,09,SEPTEMBER,9,"18,19",2025,18,2025-09-18
1109,11,09,SEPTEMBER,9,"18,19",2025,19,2025-09-19
1109,11,09,NOVEMBER,11,"4,5",2025,4,2025-11-04
1109,11,09,NOVEMBER,11,"4,5",2025,5,2025-11-05
1110,11,10,MAY,5,"5,6",2025,5,2025-05-05
1110,11,10,MAY,5,"5,6",2025,6,2025-05-06
1110,11,10,JUNE,6,"20,23",2025,20,2025-06-20
1110,11,10,JUNE,6,"20,23",2025,23,2025-06-23
1110,11,10,AUGUST,8,"6,7",2025,6,2025-08-06
1110,11,10,AUGUST,8,"6,7",2025,7,2025-08-07
1110,11,10,SEPTEMBER,9,"22,23",2025,22,2025-09-22
1110,11,10,SEPTEMBER,9,"22,23",2025,23,2025-09-23
1110,11,10,NOVEMBER,11,"6,7",2025,6,2025-11-06
1110,11,10,NOVEMBER,11,"6,7",2025,7,2025-11-07
1111,11,11,MAY,5,"7,8",2025,7,2025-05-07
1111,11,11,MAY,5,"7,8",2025,8,2025-05-08
1111,11,11,JUNE,6,"24,25",2025,24,2025-06-24
1111,11,11,JUNE,6,"24,25",2025,25,2025-06-25
1111,11,11,AUGUST,8,"8,11",2025,8,2025-08-08
1111,11,11,AUGUST,8,"8,11",2025,11,2025-08-11
1111,11,11,SEPTEMBER,9,"24,25",2025,24,2025-09-24
1111,11,11,SEPTEMBER,9,"24,25",2025,25,2025-09-25
1111,11,11,NOVEMBER,11,"10,12",2025,10,2025-11-10
1111,11,11,NOVEMBER,11,"10,12",2025,12,2025-11-12
1112,11,12,MAY,5,"9,12",2025,9,2025-05-09
1112,11,12,MAY,5,"9,12",2025,12,2025-05-12
1112,11,12,JUNE,6,"26,27",2025,26,2025-06-26
1112,11,12,JUNE,6,"26,27",2025,27,2025-06-27
1112,11,12,AUGUST,8,"12,13",2025,12,2025-08-12
1112,11,12,AUGUST,8,"12,13",2025,13,2025-08-13
1112,11,12,SEPTEMBER,9,"26,29",2025,26,2025-09-26
1112,11,12,SEPTEMBER,9,"26,29",2025,29,2025-09-29
1112,11,12,NOVEMBER,11,"13,14",2025,13,2025-11-13
1112,11,12,NOVEMBER,11,"13,14",2025,14,2025-11-14
1113,11,13,MAY,5,"13,14",2025,13,2025-05-13
1113,11,13,MAY,5,"13,14",2025,14,2025-05-14
1113,11,13,JUNE,6,30,2025,30,2025-06-30
1113,11,13,JULY,7,1,2025,1,2025-07-01
1113,11,13,AUGUST,8,"14,15",2025,14,2025-08-14
1113,11,13,AUGUST,8,"14,15",2025,15,2025-08-15
1113,11,13,SEPTEMBER,9,30,2025,30,2025-09-30
1113,11,13,OCTOBER,10,1,2025,1,2025-10-01
1113,11,13,NOVEMBER,11,"17,18",2025,17,2025-11-17
1113,11,13,NOVEMBER,11,"17,18",2025,18,2025-11-18
1201,12,01,APRIL,4,"1,2",2025,1,2025-04-01
1201,12,01,APRIL,4,"1,2",2025,2,2025-04-02
1201,12,01,MAY,5,"1,2",2025,1,2025-05-01
1201,12,01,MAY,5,"1,2",2025,2,2025-05-02
1201,12,01,JUNE,6,"3,4",2025,3,2025-06-03
1201,12,01,JUNE,6,"3,4",2025,4,2025-06-04
1201,12,01,JULY,7,"7,8",2025,7,2025-07-07
1201,12,01,JULY,7,"7,8",2025,8,2025-07-08
1201,12,01,AUGUST,8,"6,7",2025,6,2025-08-06
1201,12,01,AUGUST,8,"6,7",2025,7,2025-08-07
1201,12,01,SEPTEMBER,9,"8,9",2025,8,2025-09-08
1201,12,01,SEPTEMBER,9,"8,9",2025,9,2025-09-09
1201,12,01,OCTOBER,10,"8,9",2025,8,2025-10-08
1201,12,01,OCTOBER,10,"8,9",2025,9,2025-10-09
1201,12,01,NOVEMBER,11,"10,12",2025,10,2025-11-10
1201,12,01,NOVEMBER,11,"10,12",2025,12,2025-11-12
1202,12,02,APRIL,4,"3,4",2025,3,2025-04-03
1202,12,02,APRIL,4,"3,4",2025,4,2025-04-04
1202,12,02,MAY,5,"5,6",2025,5,2025-05-05
1202,12,02,MAY,5,"5,6",2025,6,2025-05-06
1202,12,02,JUNE,6,"5,6",2025,5,2025-06-05
1202,12,02,JUNE,6,"5,6",2025,6,2025-06-06
1202,12,02,JULY,7,"9,10",2025,9,2025-07-09
1202,12,02,JULY,7,"9,10",2025,10,2025-07-10
1202,12,02,AUGUST,8,"8,11",2025,8,2025-08-08
1202,12,02,AUGUST,8,"8,11",2025,11,2025-08-11
1202,12,02,SEPTEMBER,9,"10,11",2025,10,2025-09-10
1202,12,02,SEPTEMBER,9,"10,11",2025,11,2025-09-11
1202,12,02,OCTOBER,10,"10,14",2025,10,2025-10-10
1202,12,02,OCTOBER,10,"10,14",2025,14,2025-10-14
1202,12,02,NOVEMBER,11,"13,14",2025,13,2025-11-13
1202,12,02,NOVEMBER,11,"13,14",2025,14,2025-11-14
1203,12,03,APRIL,4,"7,8",2025,7,2025-04-07
1203,12,03,APRIL,4,"7,8",2025,8,2025-04-08
1203,12,03,MAY,5,"7,8",2025,7,2025-05-07
1203,12,03,MAY,5,"7,8",2025,8,2025-05-08
1203,12,03,JUNE,6,"9,10",2025,9,2025-06-09
1203,12,03,JUNE,6,"9,10",2025,10,2025-06-10
1203,12,03,JULY,7,"11,14",2025,11,2025-07-11
1203,12,03,JULY,7,"11,14",2025,14,2025-07-14
1203,12,03,AUGUST,8,"12,13",2025,12,2025-08-12
1203,12,03,AUGUST,8,"12,13",2025,13,2025-08-13
1203,12,03,SEPTEMBER,9,"12,15",2025,12,2025-09-12
1203,12,03,SEPTEMBER,9,"12,15",2025,15,2025-09-15
1203,12,03,OCTOBER,10,"15,16",2025,15,2025-10-15
1203,12,03,OCTOBER,10,"15,16",2025,16,2025-10-16
1203,12,03,NOVEMBER,11,"17,18",2025,17,2025-11-17
1203,12,03,NOVEMBER,11,"17,18",2025,18,2025-11-18
1204,12,04,APRIL,4,"9,10",2025,9,2025-04-09
1204,12,04,APRIL,4,"9,10",2025,10,2025-04-10
1204,12,04,MAY,5,"9,12",2025,9,2025-05-09
1204,12,04,MAY,5,"9,12",2025,12,2025-05-12
1204,12,04,JUNE,6,"11,12",2025,11,2025-06-11
1204,12,04,JUNE,6,"11,12",2025,12,2025-06-12
1204,12,04,JULY,7,"15,16",2025,15,2025-07-15
1204,12,04,JULY,7,"15,16",2025,16,2025-07-16
1204,12,04,AUGUST,8,"14,15",2025,14,2025-08-14
1204,12,04,AUGUST,8,"14,15",2025,15,2025-08-15
1204,12,04,SEPTEMBER,9,"16,17",2025,16,2025-09-16
1204,12,04,SEPTEMBER,9,"16,17",2025,17,2025-09-17
1204,12,04,OCTOBER,10,"17,20",2025,17,2025-10-17
1204,12,04,OCTOBER,10,"17,20",2025,20,2025-10-20
1204,12,04,NOVEMBER,11,"19,20",2025,19,2025-11-19
1204,12,04,NOVEMBER,11,"19,20",2025,20,2025-11-20
1205,12,05,APRIL,4,"11,14",2025,11,2025-04-11
1205,12,05,APRIL,4,"11,14",2025,14,2025-04-14
1205,12,05,MAY,5,"13,14",2025,13,2025-05-13
1205,12,05,MAY,5,"13,14",2025,14,2025-05-14
1205,12,05,JUNE,6,"13,16",2025,13,2025-06-13
1205,12,05,JUNE,6,"13,16",2025,16,2025-06-16
1205,12,05,JULY,7,"17,18",2025,17,2025-07-17
1205,12,05,JULY,7,"17,18",2025,18,2025-07-18
1205,12,05,AUGUST,8,"18,19",2025,18,2025-08-18
1205,12,05,AUGUST,8,"18,19",2025,19,2025-08-19
1205,12,05,SEPTEMBER,9,"18,19",2025,18,2025-09-18
1205,12,05,SEPTEMBER,9,"18,19",2025,19,2025-09-19
1205,12,05,OCTOBER,10,"21,22",2025,21,2025-10-21
1205,12,05,OCTOBER,10,"21,22",2025,22,2025-10-22
1205,12,05,NOVEMBER,11,"21,24",2025,21,2025-11-21
1205,12,05,NOVEMBER,11,"21,24",2025,24,2025-11-24
1206,12,06,APRIL,4,"15,16",2025,15,2025-04-15
1206,12,06,APRIL,4,"15,16",2025,16,2025-04-16
1206,12,06,MAY,5,"15,16",2025,15,2025-05-15
1206,12,06,MAY,5,"15,16",2025,16,2025-05-16
1206,12,06,JUNE,6,"17,18",2025,17,2025-06-17
1206,12,06,JUNE,6,"17,18",2025,18,2025-06-18
1206,12,06,JULY,7,"21,22",2025,21,2025-07-21
1206,12,06,JULY,7,"21,22",2025,22,2025-07-22
1206,12,06,AUGUST,8,"20,21",2025,20,2025-08-20
1206,12,06,AUGUST,8,"20,21",2025,21,2025-08-21
1206,12,06,SEPTEMBER,9,"22,23",2025,22,2025-09-22
1206,12,06,SEPTEMBER,9,"22,23",2025,23,2025-09-23
1206,12,06,OCTOBER,10,"23,24",2025,23,2025-10-23
1206,12,06,OCTOBER,10,"23,24",2025,24,2025-10-24
1207,12,07,APRIL,4,"17,18",2025,17,2025-04-17
1207,12,07,APRIL,4,"17,18",2025,18,2025-04-18
1207,12,07,MAY,5,"19,20",2025,19,2025-05-19
1207,12,07,MAY,5,"19,20",2025,20,2025-05-20
1207,12,07,JUNE,6,"20,23",2025,20,2025-06-20
1207,12,07,JUNE,6,"20,23",2025,23,2025-06-23
1207,12,07,JULY,7,"23,24",2025,23,2025-07-23
1207,12,07,JULY,7,"23,24",2025,24,2025-07-24
1207,12,07,AUGUST,8,"22,25",2025,22,2025-08-22
1207,12,07,AUGUST,8,"22,25",2025,25,2025-08-25
1207,12,07,SEPTEMBER,9,"24,25",2025,24,2025-09-24
1207,12,07,SEPTEMBER,9,"24,25",2025,25,2025-09-25
1207,12,07,OCTOBER,10,"27,28",2025,27,2025-10-27
1207,12,07,OCTOBER,10,"27,28",2025,28,2025-10-28
1208,12,08,APRIL,4,"21,22",2025,21,2025-04-21
1208,12,08,APRIL,4,"21,22",2025,22,2025-04-22
1208,12,08,MAY,5,"21,22",2025,21,2025-05-21
1208,12,08,MAY,5,"21,22",2025,22,2025-05-22
1208,12,08,JUNE,6,"24,25",2025,24,2025-06-24
1208,12,08,JUNE,6,"24,25",2025,25,2025-06-25
1208,12,08,JULY,7,"25,28",2025,25,2025-07-25
1208,12,08,JULY,7,"25,28",2025,28,2025-07-28
1208,12,08,AUGUST,8,"26,27",2025,26,2025-08-26
1208,12,08,AUGUST,8,"26,27",2025,27,2025-08-27
1208,12,08,SEPTEMBER,9,"26,29",2025,26,2025-09-26
1208,12,08,SEPTEMBER,9,"26,29",2025,29,2025-09-29
1208,12,08,OCTOBER,10,"29,30",2025,29,2025-10-29
1208,12,08,OCTOBER,10,"29,30",2025,30,2025-10-30
1209,12,09,APRIL,4,"23,24",2025,23,2025-04-23
1209,12,09,APRIL,4,"23,24",2025,24,2025-04-24
1209,12,09,MAY,5,"23,27",2025,23,2025-05-23
1209,12,09,MAY,5,"23,27",2025,27,2025-05-27
1209,12,09,JUNE,6,"26,27",2025,26,2025-06-26
1209,12,09,JUNE,6,"26,27",2025,27,2025-06-27
1209,12,09,JULY,7,"29,30",2025,29,2025-07-29
1209,12,09,JULY,7,"29,30",2025,30,2025-07-30
1209,12,09,AUGUST,8,"28,29",2025,28,2025-08-28
1209,12,09,AUGUST,8,"28,29",2025,29,2025-08-29
1209,12,09,SEPTEMBER,9,30,2025,30,2025-09-30
1209,12,09,OCTOBER,10,"1,30",2025,1,2025-10-01
1209,12,09,OCTOBER,10,"1,30",2025,30,2025-10-30
1209,12,09,NOVEMBER,11,3,2025,3,2025-11-03
1210,12,10,APRIL,4,"25,28",2025,25,2025-04-25
1210,12,10,APRIL,4,"25,28",2025,28,2025-04-28
1210,12,10,MAY,5,"28,29",2025,28,2025-05-28
1210,12,10,MAY,5,"28,29",2025,29,2025-05-29
1210,12,10,JUNE,6,30,2025,30,2025-06-30
1210,12,10,JULY,7,"1,31",2025,1,2025-07-01
1210,12,10,JULY,7,"1,31",2025,31,2025-07-31
1210,12,10,AUGUST,8,"1,2",2025,1,2025-08-01
1210,12,10,AUGUST,8,"1,2",2025,2,2025-08-02
1210,12,10,SEPTEMBER,9,"2,3",2025,2,2025-09-02
1210,12,10,SEPTEMBER,9,"2,3",2025,3,2025-09-03
1210,12,10,OCTOBER,10,"2,3",2025,2,2025-10-02
1210,12,10,OCTOBER,10,"2,3",2025,3,2025-10-03
1210,12,10,NOVEMBER,11,"3,4",2025,3,2025-11-03
1210,12,10,NOVEMBER,11,"3,4",2025,4,2025-11-04
1211,12,11,APRIL,4,"29,30",2025,29,2025-04-29
1211,12,11,APRIL,4,"29,30",2025,30,2025-04-30
1211,12,11,MAY,5,30,2025,30,2025-05-30
1211,12,11,JUNE,6,2,2025,2,2025-06-02
1211,12,11,JULY,7,"2,3",2025,2,2025-07-02
1211,12,11,JULY,7,"2,3",2025,3,2025-07-03
1211,12,11,AUGUST,8,"4,5",2025,4,2025-08-04
1211,12,11,AUGUST,8,"4,5",2025,5,2025-08-05
1211,12,11,SEPTEMBER,9,"4,5",2025,4,2025-09-04
1211,12,11,SEPTEMBER,9,"4,5",2025,5,2025-09-05
1211,12,11,OCTOBER,10,"6,7",2025,6,2025-10-06
1211,12,11,OCTOBER,10,"6,7",2025,7,2025-10-07
1211,12,11,NOVEMBER,11,"6,7",2025,6,2025-11-06
1211,12,11,NOVEMBER,11,"6,7",2025,7,2025-11-07
1301,13,01,APRIL,4,"1,2",2025,1,2025-04-01
1301,13,01,APRIL,4,"1,2",2025,2,2025-04-02
1301,13,01,JUNE,6,"17,18",2025,17,2025-06-17
1301,13,01,JUNE,6,"17,18",2025,18,2025-06-18
1301,13,01,SEPTEMBER,9,"4,5",2025,4,2025-09-04
1301,13,01,SEPTEMBER,9,"4,5",2025,5,2025-09-05
1302,13,02,APRIL,4,"3,4",2025,3,2025-04-03
1302,13,02,APRIL,4,"3,4",2025,4,2025-04-04
1302,13,02,JUNE,6,"20,23",2025,20,2025-06-20
1302,13,02,JUNE,6,"20,23",2025,23,2025-06-23
1302,13,02,SEPTEMBER,9,"8,9",2025,8,2025-09-08
1302,13,02,SEPTEMBER,9,"8,9",2025,9,2025-09-09
1303,13,03,APRIL,4,"7,8",2025,7,2025-04-07
1303,13,03,APRIL,4,"7,8",2025,8,2025-04-08
1303,13,03,JUNE,6,"24,25",2025,24,2025-06-24
1303,13,03,JUNE,6,"24,25",2025,25,2025-06-25
1303,13,03,SEPTEMBER,9,"10,11",2025,10,2025-09-10
1303,13,03,SEPTEMBER,9,"10,11",2025,11,2025-09-11
1304,13,04,APRIL,4,"9,10",2025,9,2025-04-09
1304,13,04,APRIL,4,"9,10",2025,10,2025-04-10
1304,13,04,JUNE,6,"26,27",2025,26,2025-06-26
1304,13,04,JUNE,6,"26,27",2025,27,2025-06-27
1304,13,04,SEPTEMBER,9,"12,15",2025,12,2025-09-12
1304,13,04,SEPTEMBER,9,"12,15",2025,15,2025-09-15
1305,13,05,APRIL,4,"11,14",2025,11,2025-04-11
1305,13,05,APRIL,4,"11,14",2025,14,2025-04-14
1305,13,05,JUNE,6,30,2025,30,2025-06-30
1305,13,05,JULY,7,1,2025,1,2025-07-01
1305,13,05,SEPTEMBER,9,"16,17",2025,16,2025-09-16
1305,13,05,SEPTEMBER,9,"16,17",2025,17,2025-09-17
1306,13,06,APRIL,4,"15,16",2025,15,2025-04-15
1306,13,06,APRIL,4,"15,16",2025,16,2025-04-16
1306,13,06,JULY,7,"2,3",2025,2,2025-07-02
1306,13,06,JULY,7,"2,3",2025,3,2025-07-03
1306,13,06,SEPTEMBER,9,"18,19",2025,18,2025-09-18
1306,13,06,SEPTEMBER,9,"18,19",2025,19,2025-09-19
1307,13,07,APRIL,4,"17,18",2025,17,2025-04-17
1307,13,07,APRIL,4,"17,18",2025,18,2025-04-18
1307,13,07,JULY,7,"7,8",2025,7,2025-07-07
1307,13,07,JULY,7,"7,8",2025,8,2025-07-08
1307,13,07,SEPTEMBER,9,"22,23",2025,22,2025-09-22
1307,13,07,SEPTEMBER,9,"22,23",2025,23,2025-09-23
1308,13,08,APRIL,4,"21,22",2025,21,2025-04-21
1308,13,08,APRIL,4,"21,22",2025,22,2025-04-22
1308,13,08,JULY,7,"9,10",2025,9,2025-07-09
1308,13,08,JULY,7,"9,10",2025,10,2025-07-10
1308,13,08,SEPTEMBER,9,"24,25",2025,24,2025-09-24
1308,13,08,SEPTEMBER,9,"24,25",2025,25,2025-09-25
1309,13,09,APRIL,4,"23,24",2025,23,2025-04-23
1309,13,09,APRIL,4,"23,24",2025,24,2025-04-24
1309,13,09,JULY,7,"11,14",2025,11,2025-07-11
1309,13,09,JULY,7,"11,14",2025,14,2025-07-14
1309,13,09,SEPTEMBER,9,"26,29",2025,26,2025-09-26
1309,13,09,SEPTEMBER,9,"26,29",2025,29,2025-09-29
1310,13,10,APRIL,4,"25,28",2025,25,2025-04-25
1310,13,10,APRIL,4,"25,28",2025,28,2025-04-28
1310,13,10,JULY,7,"15,16",2025,15,2025-07-15
1310,13,10,JULY,7,"15,16",2025,16,2025-07-16
1310,13,10,SEPTEMBER,9,30,2025,30,2025-09-30
1310,13,10,OCTOBER,10,1,2025,1,2025-10-01
1311,13,11,APRIL,4,"29,30",2025,29,2025-04-29
1311,13,11,APRIL,4,"29,30",2025,30,2025-04-30
1311,13,11,JULY,7,"17,18",2025,17,2025-07-17
1311,13,11,JULY,7,"17,18",2025,18,2025-07-18
1311,13,11,OCTOBER,10,"2,3",2025,2,2025-10-02
1311,13,11,OCTOBER,10,"2,3",2025,3,2025-10-03
1312,13,12,MAY,5,"1,2",2025,1,2025-05-01
1312,13,12,MAY,5,"1,2",2025,2,2025-05-02
1312,13,12,JULY,7,"21,22",2025,21,2025-07-21
1312,13,12,JULY,7,"21,22",2025,22,2025-07-22
1312,13,12,OCTOBER,10,"6,7",2025,6,2025-10-06
1312,13,12,OCTOBER,10,"6,7",2025,7,2025-10-07
1313,13,13,MAY,5,"5,6",2025,5,2025-05-05
1313,13,13,MAY,5,"5,6",2025,6,2025-05-06
1313,13,13,JULY,7,"23,24",2025,23,2025-07-23
1313,13,13,JULY,7,"23,24",2025,24,2025-07-24
1313,13,13,OCTOBER,10,"8,9",2025,8,2025-10-08
1313,13,13,OCTOBER,10,"8,9",2025,9,2025-10-09
1314,13,14,MAY,5,"7,8",2025,7,2025-05-07
1314,13,14,MAY,5,"7,8",2025,8,2025-05-08
1314,13,14,JULY,7,"25,28",2025,25,2025-07-25
1314,13,14,JULY,7,"25,28",2025,28,2025-07-28
1314,13,14,OCTOBER,10,"10,14",2025,10,2025-10-10
1314,13,14,OCTOBER,10,"10,14",2025,14,2025-10-14
1315,13,15,MAY,5,"9,12",2025,9,2025-05-09
1315,13,15,MAY,5,"9,12",2025,12,2025-05-12
1315,13,15,JULY,7,"29,30",2025,29,2025-07-29
1315,13,15,JULY,7,"29,30",2025,30,2025-07-30
1315,13,15,OCTOBER,10,"15,16",2025,15,2025-10-15
1315,13,15,OCTOBER,10,"15,16",2025,16,2025-10-16
1316,13,16,MAY,5,"13,14",2025,13,2025-05-13
1316,13,16,MAY,5,"13,14",2025,14,2025-05-14
1316,13,16,JULY,7,31,2025,31,2025-07-31
1316,13,16,AUGUST,8,1,2025,1,2025-08-01
1316,13,16,OCTOBER,10,"17,20",2025,17,2025-10-17
1316,13,16,OCTOBER,10,"17,20",2025,20,2025-10-20
1317,13,17,MAY,5,"15,16",2025,15,2025-05-15
1317,13,17,MAY,5,"15,16",2025,16,2025-05-16
1317,13,17,AUGUST,8,"4,5",2025,4,2025-08-04
